|6.6.6
antigorite_1.tab                                                                                    
           1
T(K)    
   0.0000000000000000     
   0.0000000000000000     
          16
           7
T(K)           P(bar)         rho,kg/m3      rho,kg/m3      SIO2,wt%       MGO,wt%        fo,vo%        
  923.150        10000.0        3029.46        960.716        50.4470        47.7735        59.5800     
  923.150        10010.0        3029.50        960.966        50.4470        47.7735        59.5803     
  923.150        10020.0        3029.54        961.217        50.4470        47.7735        59.5806     
  923.150        10030.0        3029.58        961.467        50.4470        47.7735        59.5809     
  923.150        10040.0        3029.62        961.717        50.4470        47.7735        59.5812     
  923.150        10050.0        3029.66        961.967        50.4470        47.7735        59.5815     
  923.150        10060.0        3029.70        962.216        50.4470        47.7735        59.5818     
  923.150        10070.0        3029.74        962.466        50.4470        47.7735        59.5821     
  923.150        10080.0        3029.78        962.715        50.4470        47.7735        59.5824     
  923.150        10090.0        3029.83        962.963        50.4470        47.7735        59.5827     
  923.150        10100.1        3029.87        963.212        50.4470        47.7735        59.5830     
  923.150        10110.1        3029.91        963.460        50.4470        47.7735        59.5833     
  923.150        10120.1        3029.95        963.708        50.4470        47.7735        59.5836     
  923.150        10130.1        3029.99        963.956        50.4470        47.7735        59.5839     
  923.150        10140.1        3030.03        964.204        50.4470        47.7735        59.5842     
  923.150        10150.1        3030.07        964.451        50.4470        47.7735        59.5845     
  923.150        10160.1        3030.11        964.698        50.4470        47.7735        59.5848     
  923.150        10170.1        3030.15        964.945        50.4470        47.7735        59.5851     
  923.150        10180.1        3030.20        965.192        50.4470        47.7735        59.5854     
  923.150        10190.1        3030.24        965.438        50.4470        47.7735        59.5857     
  923.150        10200.1        3030.28        965.684        50.4470        47.7735        59.5860     
  923.150        10210.1        3030.32        965.930        50.4470        47.7735        59.5863     
  923.150        10220.1        3030.36        966.176        50.4470        47.7735        59.5866     
  923.150        10230.1        3030.40        966.421        50.4470        47.7735        59.5869     
  923.150        10240.1        3030.44        966.667        50.4470        47.7735        59.5872     
  923.150        10250.1        3030.48        966.912        50.4470        47.7735        59.5875     
  923.150        10260.1        3030.53        967.156        50.4470        47.7735        59.5878     
  923.150        10270.1        3030.57        967.401        50.4470        47.7735        59.5881     
  923.150        10280.1        3030.61        967.645        50.4470        47.7735        59.5884     
  923.150        10290.1        3030.65        967.889        50.4470        47.7735        59.5887     
  923.150        10300.2        3030.69        968.133        50.4470        47.7735        59.5890     
  923.150        10310.2        3030.73        968.377        50.4470        47.7735        59.5893     
  923.150        10320.2        3030.77        968.620        50.4470        47.7735        59.5896     
  923.150        10330.2        3030.81        968.863        50.4470        47.7735        59.5899     
  923.150        10340.2        3030.85        969.106        50.4470        47.7735        59.5902     
  923.150        10350.2        3030.90        969.349        50.4470        47.7735        59.5905     
  923.150        10360.2        3030.94        969.591        50.4470        47.7735        59.5908     
  923.150        10370.2        3030.98        969.834        50.4470        47.7735        59.5911     
  923.150        10380.2        3031.02        970.076        50.4470        47.7735        59.5914     
  923.150        10390.2        3031.06        970.317        50.4470        47.7735        59.5917     
  923.150        10400.2        3031.10        970.559        50.4470        47.7735        59.5920     
  923.150        10410.2        3031.14        970.800        50.4470        47.7735        59.5923     
  923.150        10420.2        3031.18        971.041        50.4470        47.7735        59.5926     
  923.150        10430.2        3031.22        971.282        50.4470        47.7735        59.5929     
  923.150        10440.2        3031.27        971.523        50.4470        47.7735        59.5932     
  923.150        10450.2        3031.31        971.763        50.4470        47.7735        59.5935     
  923.150        10460.2        3031.35        972.004        50.4470        47.7735        59.5938     
  923.150        10470.2        3031.39        972.244        50.4470        47.7735        59.5941     
  923.150        10480.2        3031.43        972.483        50.4470        47.7735        59.5944     
  923.150        10490.2        3031.47        972.723        50.4470        47.7735        59.5947     
  923.150        10500.3        3031.51        972.962        50.4470        47.7735        59.5950     
  923.150        10510.3        3031.55        973.201        50.4470        47.7735        59.5953     
  923.150        10520.3        3031.59        973.440        50.4470        47.7735        59.5956     
  923.150        10530.3        3031.63        973.679        50.4470        47.7735        59.5959     
  923.150        10540.3        3031.68        973.917        50.4470        47.7735        59.5962     
  923.150        10550.3        3031.72        974.156        50.4470        47.7735        59.5965     
  923.150        10560.3        3031.76        974.394        50.4470        47.7735        59.5968     
  923.150        10570.3        3031.80        974.632        50.4470        47.7735        59.5971     
  923.150        10580.3        3031.84        974.869        50.4470        47.7735        59.5974     
  923.150        10590.3        3031.88        975.106        50.4470        47.7735        59.5977     
  923.150        10600.3        3031.92        975.344        50.4470        47.7735        59.5980     
  923.150        10610.3        3031.96        975.581        50.4470        47.7735        59.5983     
  923.150        10620.3        3032.00        975.817        50.4470        47.7735        59.5986     
  923.150        10630.3        3032.05        976.054        50.4470        47.7735        59.5989     
  923.150        10640.3        3032.09        976.290        50.4470        47.7735        59.5992     
  923.150        10650.3        3032.13        976.526        50.4470        47.7735        59.5995     
  923.150        10660.3        3032.17        976.762        50.4470        47.7735        59.5998     
  923.150        10670.3        3032.21        976.998        50.4470        47.7735        59.6001     
  923.150        10680.3        3032.25        977.233        50.4470        47.7735        59.6004     
  923.150        10690.3        3032.29        977.468        50.4470        47.7735        59.6007     
  923.150        10700.4        3032.33        977.703        50.4470        47.7735        59.6010     
  923.150        10710.4        3032.37        977.938        50.4470        47.7735        59.6013     
  923.150        10720.4        3032.41        978.173        50.4470        47.7735        59.6016     
  923.150        10730.4        3032.46        978.407        50.4470        47.7735        59.6019     
  923.150        10740.4        3032.50        978.641        50.4470        47.7735        59.6022     
  923.150        10750.4        3032.54        978.875        50.4470        47.7735        59.6025     
  923.150        10760.4        3032.58        979.109        50.4470        47.7735        59.6028     
  923.150        10770.4        3032.62        979.342        50.4470        47.7735        59.6031     
  923.150        10780.4        3032.66        979.576        50.4470        47.7735        59.6034     
  923.150        10790.4        3032.70        979.809        50.4470        47.7735        59.6037     
  923.150        10800.4        3032.74        980.042        50.4470        47.7735        59.6040     
  923.150        10810.4        3032.78        980.274        50.4470        47.7735        59.6043     
  923.150        10820.4        3032.83        980.507        50.4470        47.7735        59.6046     
  923.150        10830.4        3032.87        980.739        50.4470        47.7735        59.6049     
  923.150        10840.4        3032.91        980.971        50.4470        47.7735        59.6052     
